Customer ID,Nationality,SAS Nationality,Name,Family Name,EducationLevel,Gender,BirthDate,Marital Status,No Of Dependents,Mobile Contact,Home Contact,Email Address,Residential Type,Residential Address 1,Residential Address 2,PostalCode
56,SG,SG,DAWN,FONG,Post Secondary,F,22/3/1991,Married,0,99741093,62131442,Dawnfong56@Gmail.Com,HDB2,195E Punggol Road,#06-548,825195
57,SG,SG,DIANA,XU,Below Secondary,F,2/4/1954,Married,0,99740742,62434214,Dianaxu57@Gmail.Com,HDB2,328 Yishun Ring Road,#10-1366,760328
58,SG,SG,DOROTHY,FANG,Secondary,F,20/12/1965,Single,0,99740383,65687843,Dorothyfang58@Gmail.Com,HDB4,189 Bishan Street 13,#08-435,570189
59,SG,SG,RONG LE,WONG,University,M,13/9/1986,Married,4,99735700,61435832,RongLewong59@Gmail.Com,HDB4,49 Lorong 5 Toa Payoh,#18-77,310049
60,SG,SG,ELIZABETH,FAN,Post Secondary,F,10/10/1980,Single,0,99732543,64144545,Elizabethfan60@Gmail.Com,HDB3,Blk 14 Eunos Crescent,#09-305,400014
61,SG,SG,EMMA,KONG,Diploma,F,3/5/1974,Married,0,99702154,63481891,Emmakong61@Gmail.Com,HDB2,573 Pasir Ris Street 53,#04-32,510573
62,SG,SG,ERIC,CHU,University,M,6/5/1980,Married,0,99698926,65644494,Ericchu62@Gmail.Com,HDB2,370 Bukit Batok Street 31,#04-207,650370
63,SG,SG,FAITH,YEO,Below Secondary,F,21/1/1988,Married,1,99690798,64822157,Faithyeo63@Gmail.Com,HDB4,129 Clarence Lane,#17-48,140129
64,SG,SG,JIAYI,GAN,Below Secondary,F,4/1/1966,Married,1,99658384,64388952,Jiayigan64@Gmail.Com,HDB4,189A Rivervale Drive,#03-1016,541189
65,SG,SG,DAEMIAN,TAY,Below Secondary,M,5/4/1967,Single,0,99645424,64324135,Daemiantay65@Gmail.Com,HDB4,332 Sembawang Close,#12-415,750332
66,SG,SG,JENIFER,THIAM,Diploma,F,6/4/1954,Divorced,0,99627429,64231434,Jeniferthiam66@Gmail.Com,EC,90 Flora Road,#07-36 Ede,507004
67,SG,SG,ALICE,BAI,University,F,18/4/1954,Married,1,99620325,64243231,Alicebai67@Gmail.Com,HDB4,35 Lorong 5 Toa Payoh,#16-331,310035
68,SG,SG,JOY,QUEY,Diploma,F,8/8/1969,Married,2,99583844,64684846,Joyquey68@Gmail.Com,HDB4,Blk 16 Eunos Crescent,#07-106,400016
69,SG,SG,AARON,CHOO,Secondary,M,15/8/1980,Single,0,99569542,64282944,Aaronchoo69@Gmail.Com,HDB4,736 Yishun Street 72,#04-79,760736
70,SG,SG,FENG GANG,XU,University,M,16/3/1964,Married,1,99567893,67837872,FengGangxu70@Gmail.Com,HDB4,724 Yishun Street 71,#11-169,760724
71,SG,SG,HARRY,HO,Secondary,M,26/12/1959,Married,0,99567279,67216326,Harryho71@Gmail.Com,HDB2,60 Lorong 4 Toa Payoh,#23-115,310060
72,SG,SG,GEORGINA,LONG,Below Secondary,F,7/8/1968,Married,3,99565158,64018373,Georginalong72@Gmail.Com,DH,14 Clover Close,#01-00,579255
73,SG,SG,GRACE,FAN,Post Secondary,F,27/4/1965,Single,0,99564938,64369472,Gracefan73@Gmail.Com,HDB4,796 Yishun Ring Road,#10-3368,760796
74,SG,SG,GORDON,WEE,Below Secondary,M,26/6/1964,Single,0,99561177,67283927,Gordonwee74@Gmail.Com,HDB2,278 Tampines Street 22,#07-212,520278
75,SG,SG,GEORGE,YEO,Below Secondary,M,10/9/1968,Married,3,99560454,68328431,Georgeyeo75@Gmail.Com,HDB4,492B Tampines Avenue 9,#10-426,520492
76,SG,SG,BRENDAN,CHEW,University,M,15/12/1970,Married,4,99560295,68376294,Brendanchew76@Gmail.Com,HDB2,751 Jurong West Street 73,#09-185,640751
77,SG,SG,RACHAEL,WONG,University,F,4/4/1964,Married,0,99537692,68274939,Rachaelwong77@Gmail.Com,HDB4,531 Bukit Batok Street 51,#03-122,650531
78,SG,SG,COBY,PAN,Post Secondary,M,26/8/1980,Single,0,99536913,64273492,Cobypan78@Gmail.Com,HDB2,688 Jurong West Central 1,#07-241,640688
79,SG,SG,DENNY,PONG,Diploma,M,7/7/1961,Married,5,99526468,64536303,Dennypong79@Gmail.Com,HDB4,708 Tampines Street 71,#09-108,520708
80,SG,SG,TIFFANY,FWA,Post Secondary,F,4/7/1979,Married,4,99526358,64763573,Tiffanyfwa80@Gmail.Com,HDB2,764 Yishun Street 72,#07-392,760764
81,SG,SG,ISABEL,LIM,University,F,14/8/1966,Single,0,99512222,64273922,Isabellim81@Gmail.Com,HDB2,358 Yung An Road,#09-63,610358
82,SG,SG,JADE,YONG,Secondary,F,1/6/1980,Single,0,99502582,64263827,Jadeyong82@Gmail.Com,HDB2,321 Hougang Avenue 5,#07-56,530321
83,SG,SG,COLLER,GAN,Below Secondary,M,27/7/1969,Single,0,99501784,69273723,Collergan83@Gmail.Com,HDB4,371 Woodlands Avenue 1,#09-821,730371
84,SG,SG,COLIN,TEO,Below Secondary,M,9/5/1964,Single,0,99494054,69237394,Colinteo84@Gmail.Com,HDB2,295A Compassvale Crescent,#03-217,541295
85,SG,SG,LINA,KONG,University,F,18/3/1987,Married,0,99486826,64215376,Linakong85@Gmail.Com,HDB2,352 Ubi Avenue 1,#04-991,400352
86,SG,SG,LINDA,YOW,University,F,10/6/1962,Married,1,99454304,62416246,Lindayow86@Gmail.Com,HDB4,297B Compassvale Street,#08-02,542297
87,SG,SG,MARY,QUACK,University,F,26/10/1971,Single,0,99453342,64927473,Maryquack87@Gmail.Com,HDB3,Blk 1 Haig Road,#01-305,430001
88,SG,SG,SEAN,GAN,Secondary,M,3/5/1968,Married,5,99453322,65792683,Seangan88@Gmail.Com,BUN,82C Lorong Melayu,#01-00,416998
89,SG,SG,JEAN,FAN,University,F,22/9/1984,Single,0,99451822,64276442,Jeanfan89@Gmail.Com,HDB2,128 Marsiling Rise,#03-268,730128
90,SG,SG,JENNY,HOH,Below Secondary,F,14/11/1944,Married,0,99437353,64834738,Jennyhoh90@Gmail.Com,SDH,72 Andrews Terrace,#01-00,757423
91,SG,SG,EDMOND,LIN,Secondary,M,19/9/1969,Married,1,99428284,67832529,Edmondlin91@Gmail.Com,HDB2,278 Yishun St 22,#02-286,760278
92,SG,SG,EDWARD,CHEW,Diploma,M,5/8/1959,Married,1,99423535,63195742,Edwardchew92@Gmail.Com,HDB4,224D Compassvale Walk,#04-603,544224
93,SG,SG,ROBIN,LEO,University,M,8/10/1960,Married,1,99414596,64243823,Robinleo93@Gmail.Com,HDB4,315 Serangoon Ave 2,#12-214,550315
94,SG,SG,FULLER,PONG,University,M,15/3/1957,Married,1,99407457,64837939,Fullerpong94@Gmail.Com,HDB3,219 Ang Mo Kio Avenue 1,#03-823,560219
95,SG,SG,JORDAN,CHU,Diploma,M,19/12/1954,Single,0,99406951,64254745,Jordanchu95@Gmail.Com,HDB2,345 Tampines St 33,#07-368,520345
96,SG,SG,JONNAH,FONG,Below Secondary,M,8/4/1962,Married,1,99395464,67326517,Jonnahfong96@Gmail.Com,HDB4,354 Hougang Avenue 7,#03-701,530354
97,SG,SG,JUDY,TUNG,Secondary,F,22/7/1959,Single,0,99375864,64719373,Judytung97@Gmail.Com,HDB2,75 Whampoa Drive,#03-368,320075
98,SG,SG,KATE,AW,University,F,28/8/1966,Married,0,99363514,69273343,Kateaw98@Gmail.Com,HDB4,850 Yishun Street 81,#08-96,760850
99,SG,SG,GERALD,HAN,Below Secondary,M,28/1/1984,Single,0,99361166,68374822,Geraldhan99@Gmail.Com,HDB2,688B Chua Chu Kang Drive,#08-326,682688
100,SG,SG,GARRICK,LEE,University,M,8/7/1959,Single,0,99352687,69374723,Garricklee100@Gmail.Com,HDB2,363 Hougang Avenue 5,#12-292,530363
101,SG,SG,ALICE,YAP,Post Secondary,F,23/6/1956,Married,1,99339215,64768394,Aliceyap101@Gmail.Com,HDB4,212 Serangoon Avenue 4,#02-48,550212
102,SG,SG,ASH,FWA,Secondary,M,17/1/1955,Single,0,99337835,64161523,Ashfwa102@Gmail.Com,HDB2,35 Jalan Bahagia,#05-242,320035
103,SG,SG,WAYNE,LEONG,Below Secondary,M,14/12/1971,Married,0,99329644,63722955,Wayneleong103@Gmail.Com,HDB4,116 Bukit Merah Central,#19-3759,150116
104,SG,SG,KATHERINE,CHEUNG,Below Secondary,F,15/8/1969,Single,0,99328983,64273784,Katherinecheung104@Gmail.Com,HDB4,433 Yishun Avenue 6,#12-2138,760433
105,SG,SG,KIMBERLY,CHUA,Below Secondary,F,12/4/1964,Married,2,99328443,61685853,Kimberlychua105@Gmail.Com,AP,13 Jalan Mata Ayer,#04-76 Eup,759155
106,SG,SG,LUCAS,AW,Diploma,M,15/8/1986,Single,0,99324653,64273043,Lucasaw106@Gmail.Com,HDB2,578 Woodlands Drive 16,#05-548,730578
107,SG,SG,GORDON,TAY,University,M,29/3/1948,Single,0,99307486,68293743,Gordontay107@Gmail.Com,HDB2,314 Ang Mo Kio Avenue 3,#08-2330,560314
108,SG,SG,HELEN,LAI,Below Secondary,F,7/3/1959,Married,0,99301016,63569827,Helenlai108@Gmail.Com,HDB2,270 Yishun Street 22,#05-56,760270
109,SG,SG,HARRY,CHEUNG,Secondary,M,1/8/1965,Single,0,99297544,64837472,Harrycheung109@Gmail.Com,HDB3,166 Bishan Street 13,#08-232,570166
110,SG,SG,YURI,HUIN,Secondary,F,18/7/1974,Married,2,99293377,63839827,Yurihuin110@Gmail.Com,HDB4,46 Lorong 5 Toa Payoh,#07-97,310046
111,SG,SG,JIAMIN,YONG,University,F,8/10/1966,Married,2,99291402,67638464,Jiaminyong111@Gmail.Com,HDB5,101 Rivervale Walk,#08-28,540101
112,SG,SG,SHAO WEI,LOW,University,M,9/12/1954,Single,0,99291143,69384783,ShaoWeilow112@Gmail.Com,HDB2,739 Yishun Avenue 5,#04-442,760739
113,SG,SG,LAURA,FAN,University,F,26/3/1954,Married,0,99283044,64424355,Laurafan113@Gmail.Com,HDB4,252 Chua Chu Kang Ave 2,#12-316,680252
114,SG,SG,RYAN,KE,Below Secondary,M,17/1/1954,Married,1,99281904,64342313,Ryanke114@Gmail.Com,SDH,30 Asimont Lane,#01-00,309946
115,SG,SG,BING WEI,WEN,Post Secondary,M,27/2/1986,Single,0,99281854,64884421,BingWeiwen115@Gmail.Com,HDB5,325 Yishun Central,#06-373,760325
116,SG,SG,HENDRY,ANG,University,M,6/10/1959,Married,0,99281708,68398283,Hendryang116@Gmail.Com,HDB2,268A Compassvale Link,#05-47,541268
117,SG,SG,ELBON,CHUA,Below Secondary,M,8/1/1979,Single,0,99263566,64426784,Elbonchua117@Gmail.Com,HDB5,627 Yishun Street 61,#05-81,760627
118,SG,SG,JACK,QUACK,Diploma,M,16/6/1987,Married,0,99262377,64446831,Jackquack118@Gmail.Com,HDB2,596D Ang Mo Kio Street 52,#20-303,564596
119,SG,SG,MAGGIE,LAI,Below Secondary,F,2/12/1962,Married,1,99260374,64643423,Maggielai119@Gmail.Com,HDB5,186B Rivervale Drive,#12-814,542186
120,MY,PR,MAHATHIR,BASHINI,University,M,25/10/1955,Married,1,99248878,62215222,Mahathirbashini120@Gmail.Com,HDB5,31 Marine Crescent,#19-305,440031
121,SG,SG,ALVIN,YAP,Secondary,M,9/7/1964,Single,0,99245783,64423254,Alvinyap121@Gmail.Com,HDB5,422 Ang Mo Kio Avenue 3,#05-2516,560422
122,SG,SG,JACKSON,YAP,Post Secondary,M,21/3/1974,Single,0,99245025,64944222,Jacksonyap122@Gmail.Com,HDB5,Blk 4A Jalan Batu,#11-529,432004
123,SG,SG,JAMES,CHONG,University,M,14/2/1970,Married,0,99243546,62414558,Jameschong123@Gmail.Com,HDB2,449 Tampines St42,#08-86,520449
124,SG,SG,MANDY,KOH,Secondary,F,16/2/1969,Single,0,99241004,64722838,Mandykoh124@Gmail.Com,HDB2,143 Lorong Ah Soo,#08-231,530143
125,SG,SG,MARGARET,CHEONG,Secondary,F,27/6/1939,Married,0,99238852,64424642,Margaretcheong125@Gmail.Com,SDH,81 Grove Drive,#01-00,278907
126,SG,SG,JIEYING,LEO,Post Secondary,F,2/12/1969,Married,0,99238102,67375872,Jieyingleo126@Gmail.Com,HDB2,854 Yishun Ring Road,#12-3503,760854
127,SG,SG,MEGAN,CAI,Secondary,F,14/12/1974,Married,0,99233462,64255125,Megancai127@Gmail.Com,HDB5,Blk 671 Klang Lane,#17-317,210671
128,SG,SG,QI EN,TOH,Below Secondary,F,18/10/1986,Married,5,99233312,64458141,QiEntoh128@Gmail.Com,HDB5,932 Yishun Central 1,#07-95,760932
129,SG,SG,KENNETGH,WONG,Below Secondary,M,24/6/1959,Married,5,99231416,64242421,Kennetghwong129@Gmail.Com,HDB2,6 Beach Road,#14-4875,190006
130,SG,SG,KENDRICK,LAN,Secondary,M,7/11/1957,Married,5,99230856,65854214,Kendricklan130@Gmail.Com,HDB5,755 Choa Chu Kang North 5,#12-103,680755
131,SG,SG,LARRY,KE,Secondary,M,23/9/1966,Married,0,99230782,64834738,Larryke131@Gmail.Com,SDH,72 Andrews Terrace,#01-00,757423
132,SG,SG,WEI LE,FWA,University,M,28/9/1964,Married,3,99230492,68476454,WeiLefwa132@Gmail.Com,DH,192 Verde Crescent,#01-00,688512
133,SG,SG,YVONNE,CHEW,Diploma,F,14/2/1966,Married,2,99228231,64514546,Yvonnechew133@Gmail.Com,HDB5,773 Bedok Reservoir View,#14-127,470773
134,SG,SG,LAWERENCE,KOH,Diploma,M,18/9/1980,Married,2,99226982,64365464,Lawerencekoh134@Gmail.Com,HDB5,324 Yishun Central,#06-297,760324
135,SG,SG,TERESSA,ZHANG,Secondary,F,8/11/1979,Married,0,99221910,63618242,Teressazhang135@Gmail.Com,HDB5,966 Jurong West Street 93,#08-217,640966
136,SG,SG,MARK,CHU,Diploma,M,10/8/1986,Single,0,99220730,64524552,Markchu136@Gmail.Com,HDB5,631 Ang Mo Kio Avenue 4,#07-900,560631
137,SG,SG,PIPER,NGO,University,M,16/10/1973,Married,1,99220275,64122547,Piperngo137@Gmail.Com,AP,11 Lincoln Road,#05-45 Iri,308349
138,SG,SG,SHITING,AW,University,F,19/9/1969,Married,3,99214415,66868872,Shitingaw138@Gmail.Com,HDB5,558 Jurong West Street 42,#08-457,640558
139,SG,SG,WEI LE,PAN,Post Secondary,M,8/3/1954,Married,2,99209725,67491431,WeiLepan139@Gmail.Com,HDB2,263 Serangoon Central Drive,#05-79,550263
140,SG,SG,TOMMY,LONG,Below Secondary,M,20/3/1954,Married,1,99208405,64221568,Tommylong140@Gmail.Com,HDB2,529 Serangoon North Avenue 4,#07-22,550529
141,SG,SG,SANDY,NAH,Secondary,F,1/11/1966,Married,0,99208047,61452144,Sandynah141@Gmail.Com,HDB2,351 Yishun Avenue 11,#04-191,760351
142,SG,SG,MARTIN,BAI,Secondary,M,1/7/1984,Single,0,99206110,64854242,Martinbai142@Gmail.Com,HDB5,253 Ang Mo Kio Street 21,#05-183,560253
143,SG,SG,MARVIN,WONG,Diploma,M,14/4/1959,Single,0,99205120,64524254,Marvinwong143@Gmail.Com,HDB2,172 Ang Mo Kio Avenue 4,#06-587,560172
144,SG,SG,FELCIA,WEE,Below Secondary,F,15/11/1969,Married,2,99204739,64241547,Felciawee144@Gmail.Com,HDB5,401 Pandan Gardens,#25-04,600401
145,SG,SG,SCARLET,CHU,Below Secondary,F,4/1/1959,Married,3,99200691,66145458,Scarletchu145@Gmail.Com,HDB5,Blk 194 Kim Keat Avenue,#07-319,310194
146,SG,SG,MURPHY,LIN,University,M,24/2/1969,Married,0,99192608,64541399,Murphylin146@Gmail.Com,HDB2,107 Toa Payoh Lorong 1,#09-268,310107
147,SG,SG,NIGEL,LIN,University,M,26/9/1954,Married,0,99189609,62544789,Nigellin147@Gmail.Com,HDB4,107 Bukit Batok West Avenue 6,#10-112,650107
148,SG,SG,OCEAN,HO,Below Secondary,F,28/1/1964,Single,0,99186678,64354218,Oceanho148@Gmail.Com,HDB2,130 Cashew Road,#12-215,670130
149,SG,SG,OLIVER,CHIN,Below Secondary,F,2/11/1969,Single,0,99185949,64745521,Oliverchin149@Gmail.Com,HDB2,316 Ubi Avenue 1,#02-359,400316
150,SG,SG,JIAN HONG,CHEN,University,M,10/5/1987,Married,2,99183311,64924215,JianHongchen150@Gmail.Com,HDB2,155 Bishan Street 13,#06-86,570155
151,SG,SG,WEI YANG,NGIAM,Below Secondary,M,3/11/1964,Single,0,99182681,64254489,WeiYangngiam151@Gmail.Com,HDB3,4A Boon Tiong Road,#10-23,164004
152,SG,SG,WEI LIANG,TANG,Secondary,M,28/3/1954,Married,2,99182382,64388148,WeiLiangtang152@Gmail.Com,HDB5,322 Woodlands Street 32,#13-189,730322
153,SG,SG,SEAN,ZENG,University,M,17/11/1954,Married,0,99182172,63324752,Seanzeng153@Gmail.Com,HDB2,38 Bedok South Road,#05-645,460038
154,SG,SG,SUSAN,CHONG,Post Secondary,F,26/9/1973,Married,1,99180272,69587739,Susanchong154@Gmail.Com,AP,223 Rangoon Road,#02-06 Ran,218460
155,SG,SG,OSCAR,NGIAM,Below Secondary,M,11/5/1982,Married,0,99179108,61388626,Oscarngiam155@Gmail.Com,HDB2,327 Clementi Avenue 5,#12-205,120327
156,SG,SG,JASMIN,WEN,Below Secondary,F,28/10/1968,Married,5,99174599,69542148,Jasminwen156@Gmail.Com,HDB2,551 Ang Mo Kio Ave 10,#06-2224,560551
157,SG,SG,PETER,YOW,University,M,15/11/1974,Married,1,99170138,63478552,Peteryow157@Gmail.Com,HDB2,117 Bishan Street 12,#24-27,570117
158,SG,SG,CHERYL,WONG,University,F,24/1/1969,Married,2,99166842,65245415,Cherylwong158@Gmail.Com,HDB5,230 Pasir Ris Street 21,#08-42,510230
159,SG,SG,BENNY,LEUNG,Secondary,F,25/6/1942,Single,0,99166309,66278139,Bennyleung159@Gmail.Com,HDB4,20 Toh Close,#16-595,508000
